time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot
1644329100,419.99827286692005,420.2,419.7,419.925,50,30,70,50,50,35.16455755928098,30,70
1644329400,419.96163643346006,420.2,419.7,419.9,50,30,70,50,50,35.04824454113293,30,70
1644329700,419.93081821673,420.5,419.8,420.025,50,30,70,50,50,36.85175379936132,30,70
1644330000,419.977909108365,420.2,419.9,420,50,30,70,50,50,36.459261192203854,30,70
1644330300,419.9889545541825,420.2,418.9,419.525,50,30,70,50,50,33.314942991168806,30,70
1644330600,419.7569772770912,420.8,418.6,419.27500000000003,50,30,70,50,50,32.9347126621803,30,70
1644330900,419.51598863854565,421.2,418.6,419.65,50,30,70,50,50,35.26943426376724,30,70
1644331200,419.5829943192728,420.3,419.4,419.92500000000007,50,30,70,50,50,36.350842610872505,30,70
1644331500,419.75399715963647,420.5,419.7,420,50,30,70,50,50,39.6953394936435,30,70
1644331800,419.87699857981823,420.6,419.4,420,50,30,70,50,50,39.46483713745844,30,70
1644332100,419.93849928990915,420.2,419,419.625,50,30,70,50,50,36.19188976757847,30,70
1644332400,419.7817496449546,419.7817496449546,416.5,417.9,50,30,70,50,50,26.131262223373852,20,70
1644332700,418.8408748224773,418.8408748224773,415.1,416.525,50,30,70,50,50,20.25005634313456,20,70
1644333000,417.68293741123864,417.68293741123864,414.3,415.4,50,30,70,50,50,16.58846797152181,20,70
1644333300,416.5414687056193,417,413.4,415.325,50,30,70,50,50,14.699051362583106,20,70
1644333600,415.9332343528097,417.2,415.7,416.4,50,30,70,50,50,24.512037219531578,20,70
1644333900,416.1666171764048,417,415.2,416.025,50,30,70,50,50,23.679810663949723,20,70
1644334200,416.09580858820243,416.6,414.9,415.5,50,30,70,50,50,22.41779154103537,20,70
1644334500,415.7979042941012,416.3,414.1,415.425,50,30,70,50,50,21.04485042518759,20,70
1644334800,415.6114521470506,416.9,415.5,416.375,50,30,70,50,50,29.739417726474656,20,70
1644335100,415.9932260735253,418.4,415.9932260735253,417.4,50,30,70,50,50,38.68539982587504,30,70
1644335400,416.69661303676264,418.7,416.69661303676264,418.05,50,30,70,50,50,44.00735211790059,30,70
1644335700,417.37330651838136,418.7,417.37330651838136,418.275,50,30,70,50,50,47.30608955431745,30,70
